Claim_ID,Customer_Age,Claim_Amount,Claim_History,Policy_Type,Incident_Severity,Claim_Frequency,Fraud_Label,Claim_Description,Gender,Marital Status,Occupation,Income Level,Education Level,Location,Behavioral Data,Purchase History,Policy Start Date,Policy Renewal Date,Interactions with Customer Service,Insurance Products Owned,Coverage Amount,Premium Amount,Deductible,Policy Type,Customer Preferences,Preferred Communication Channel,Driving Record,Life Events
C100000,58.0,20604.0,0.0,0,2,3.0,0.0,Enjoy four run family hundred number. Say manager great world measure. Will bag it hotel class little heart. Accident report and documentation verified.,0,1,3,70541,0,37534,4,4/10/2018,8/1/2023,12/3/2023,4,1,366603,2749,1604,2,0,1,2,2
C100001,71.0,17923.0,0.0,0,1,3.0,0.0,Peace play attention he box information agree. Spring two blue. Public there issue enough model. Us group authority street bar. Accident report and documentation verified.,1,4,5,54168,2,63304,4,11/6/2018,9/6/2020,6/9/2023,0,0,780236,1966,1445,2,2,1,1,4
C100002,48.0,48591.0,4.0,1,2,9.0,0.0,"Medical likely we course. Claim less from will.
Want realize old nature. Accident report and documentation verified.",0,3,3,73899,0,53174,4,6/5/2021,9/3/2023,11/3/2024,1,2,773926,4413,1612,2,0,2,0,0
C100003,34.0,9547.0,2.0,2,2,1.0,0.0,"Improve bad experience exist.
Move message best market leader enjoy animal. Activity successful two send final country. Event that in game. Accident report and documentation verified.",1,0,3,63381,1,22803,4,9/2/2018,4/14/2018,5/4/2023,0,1,787815,4342,1817,1,4,1,2,2
C100004,62.0,45283.0,1.0,0,2,7.0,0.0,Gun subject perhaps agency pretty. Food sing debate Democrat choice seven but. Accident report and documentation verified.,0,2,5,38794,1,92858,0,9/10/2018,12/2/2022,9/10/2023,0,3,366506,1276,133,1,0,4,3,0
C100005,27.0,34002.0,2.0,0,1,7.0,0.0,Know week Mr director participant. Him particular arrive maybe. Generation beat draw without if that. Accident report and documentation verified.,0,2,6,87188,4,29743,4,9/19/2020,1/7/2020,4/16/2024,0,0,570757,1106,1173,3,4,4,3,1
C100006,40.0,15562.0,3.0,2,1,8.0,0.0,Past different good response pull miss do ability. Forward his peace pass majority him yourself number. Accident report and documentation verified.,1,3,5,94891,1,84295,2,7/4/2021,1/19/2019,1/2/2024,0,1,604069,3661,834,2,1,4,1,4
C100007,58.0,8480.0,3.0,2,0,6.0,0.0,Hotel soldier star day girl system recent. Stand truth act federal improve weight many give. There government apply. Accident report and documentation verified.,1,1,0,61003,4,43751,0,11/1/2021,2/15/2019,4/24/2023,4,2,418997,1148,463,0,0,3,2,1
C100008,77.0,27672.0,3.0,0,1,8.0,0.0,Its before admit. Black discussion increase home action establish cost. Accident report and documentation verified.,0,3,7,116249,2,35981,0,9/20/2020,12/9/2022,3/6/2023,3,3,319423,2612,917,0,1,4,1,4
C100009,38.0,5213.0,4.0,0,0,1.0,0.0,Dinner learn official magazine worry. Word address west she line vote nice that. Accident report and documentation verified.,0,3,0,49083,4,85114,2,4/24/2020,8/1/2018,5/2/2024,4,0,701577,4595,1305,2,3,0,0,3
